filename variable group_id mean sd n r se error_type plot_type
locomotion.png locomotionx week2_week1 10.222016651248843 12.340176419590495 23 0.5048917402615882 2.5731046554918433 sd scatterplot
locomotion.png locomotiony week2_week1 12.08757323465927 11.038265156291835 23 0.5048917402615882 2.301637391270817 sd scatterplot
"Screenshot 2019-03-07 08.34.21.png" week1 week2_week1_calls 104.46488481324086 54.228070654120415 34 0.7553469883011783 9.300037392189655 sd scatterplot
"Screenshot 2019-03-07 08.34.21.png" week2 week2_week1_calls 129.38669786096256 39.24887257258224 34 0.7553469883011783 6.731126114636475 sd scatterplot
"Screenshot 2019-03-07 08.34.26.png" week2 week3_week2_calls 130.92460707269157 40.19148033664441 32 0.6777951427751194 7.1049170729917615 sd scatterplot
"Screenshot 2019-03-07 08.34.26.png" week3 week3_week2_calls 130.87463378906253 32.855122946745766 32 0.6777951427751194 5.808020058090419 sd scatterplot
"Screenshot 2019-03-07 08.34.30.png" week3 week4_week3_calls 132.5533440918056 33.58818365795376 33 0.7402602312163533 5.846952278986068 sd scatterplot
"Screenshot 2019-03-07 08.34.30.png" week4 week4_week3_calls 113.32319255547604 37.68064737512341 33 0.7402602312163533 6.559358769954701 sd scatterplot
"Screenshot 2019-03-07 08.34.39.png" week1 week4_week1_calls 104.49057984269251 55.13863129076824 33 0.3792666903410077 9.59840368770243 sd scatterplot
"Screenshot 2019-03-07 08.34.39.png" week4 week4_week1_calls 115.46920821114374 38.06660951149672 33 0.3792666903410077 6.626546153942221 sd scatterplot
"Screenshot 2019-03-07 08.34.42.png" week1 week2_week1_locomotor 9.763948497854084 12.175115928975364 24 0.5101553753579605 2.4852351321017703 sd scatterplot
"Screenshot 2019-03-07 08.34.42.png" week2 week2_week1_locomotor 11.21074232690936 11.091557612566453 24 0.5101553753579605 2.2640547169558505 sd scatterplot
"Screenshot 2019-03-07 08.34.46.png" week2 week3_week2_locomotion 11.284364261168388 11.11121139109725 24 0.35090749726326304 2.268066527699027 sd scatterplot
"Screenshot 2019-03-07 08.34.46.png" week3 week3_week2_locomotion 14.412917518745738 14.207240128278837 24 0.35090749726326304 2.9000407472897147 sd scatterplot
"Screenshot 2019-03-07 08.34.49.png" week3 week4_week3_locomotion 13.285647279549721 14.279914362631908 26 0.39744330673223677 2.8005216149036145 sd scatterplot
"Screenshot 2019-03-07 08.34.49.png" week4 week4_week3_locomotion 17.13995943204868 14.980866137915132 26 0.39744330673223677 2.9379895679904093 sd scatterplot
"Screenshot 2019-03-07 08.34.54.png" week1 week4_week1_locomotion 9.441955193482686 12.036646954824702 25 0.16224166033010207 2.4073293909649403 sd scatterplot
"Screenshot 2019-03-07 08.34.54.png" week4 week4_week1_locomotion 17.69042769857433 15.008122087545695 25 0.16224166033010207 3.001624417509139 sd scatterplot
