R behaviour p_val sample_size t1 t2 delta_t Key species_common species_latin measurements_per_ind sex context type_of_treatment treatment life_stage event R_se CI_lower CI_upper remarks max_lifespan_days
0.567** alarm_calling_antipredator_behav 0.01 72 918.5 913.5 -5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.491** alarm_calling_antipredator_behav 0.01 72 919.5 913.5 -6 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.252 alarm_calling_antipredator_behav >0.05 72 920.5 913.5 -7 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.265 alarm_calling_antipredator_behav >0.05 72 915.5 914.5 -1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.333* alarm_calling_antipredator_behav 0.05 72 916.5 914.5 -2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.447** alarm_calling_antipredator_behav 0.01 72 917.5 914.5 -3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.398* alarm_calling_antipredator_behav 0.05 72 918.5 914.5 -4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.229 alarm_calling_antipredator_behav >0.05 72 919.5 914.5 -5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.252 alarm_calling_antipredator_behav >0.05 72 920.5 914.5 -6 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.577** alarm_calling_antipredator_behav 0.01 72 916.5 915.5 -1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.390* alarm_calling_antipredator_behav 0.05 72 917.5 915.5 -2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.545** alarm_calling_antipredator_behav 0.01 72 918.5 915.5 -3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.427** alarm_calling_antipredator_behav 0.01 72 919.5 915.5 -4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.682** alarm_calling_antipredator_behav 0.01 72 920.5 915.5 -5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.676** alarm_calling_antipredator_behav 0.01 72 917.5 916.5 -1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.488** alarm_calling_antipredator_behav 0.01 72 918.5 916.5 -2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.652** alarm_calling_antipredator_behav 0.01 72 919.5 916.5 -3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.438** alarm_calling_antipredator_behav 0.01 72 920.5 916.5 -4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.466** alarm_calling_antipredator_behav 0.01 72 918.5 917.5 -1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.304 alarm_calling_antipredator_behav >0.05 72 919.5 917.5 -2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.431** alarm_calling_antipredator_behav 0.01 72 920.5 917.5 -3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
