sex R CI_lower CI_upper p_val behaviour t1 t2 Key species_common species_latin sample_size measurements_per_ind context type_of_treatment treatment event R_se delta_t remarks max_lifespan_days life_stage
2 0.00 0 0.04 "> 0.05" aggression 56 73 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 17 NA 1825 adult
1 0.34 0 0.64 0.044 aggression 56 73 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 17 NA 1825 adult
0 0.50 0.25 0.69 0.001 fearlessness 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 18 NA 1825 adult
2 0.46 0.08 0.74 0.008 fearlessness 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 18 NA 1825 adult
1 0.58 0.23 0.79 0.003 fearlessness 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 18 NA 1825 adult
0 0.48 0.23 0.67 0.001 exploration 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 18 NA 1825 adult
2 0.23 0 0.59 "> 0.05" exploration 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 18 NA 1825 adult
1 0.60 0.29 0.79 0.002 exploration 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 18 NA 1825 adult
0 0.16 0 0.42 "> 0.05" boldness 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 18 NA 1825 adult
2 0.12 0 0.53 >0.05 boldness 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 18 NA 1825 adult
1 0.20 0 0.55 >0.05 boldness 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 18 NA 1825 adult
