time mean_movement ID
autumn 3.98395721925134 1
autumn 2.914438502673801 2
autumn 1.8983957219251382 3
autumn 0.9358288770053536 4
autumn 6.0695187165775435 5
autumn 9.81283422459893 6
autumn 6.9786096256684536 7
autumn 4.946524064171126 8
autumn 7.780748663101607 9
autumn 10.93582887700535 10
autumn 14.090909090909093 11
autumn 12.967914438502675 12
autumn 8.957219251336898 13
autumn 12.058823529411768 14
autumn 14.946524064171125 15
autumn 16.069518716577537 16
autumn 16.97860962566845 17
spring 1.0427807486631036 1
spring 1.9518716577540118 2
spring 3.983957219251338 3
spring 7.032085561497326 4
spring 2.914438502673799 5
spring 4.946524064171123 6
spring 5.909090909090911 7
spring 8.048128342245992 8
spring 10.026737967914439 9
spring 8.850267379679142 10
spring 10.882352941176471 11
spring 11.898395721925134 12
spring 15.053475935828878 13
spring 17.0855614973262 14
spring 14.037433155080215 15
spring 12.967914438502675 16
spring 15.909090909090907 17
pm 1.0439560439560505 1
pm 2.967032967032972 2
pm 4.505494505494511 3
pm 4.395604395604401 4
pm 7.582417582417586 5
pm 5.989010989010994 6
pm 2.0329670329670386 7
pm 7.527472527472531 8
pm 8.846153846153848 9
pm 14.010989010989013 10
pm 10.604395604395606 11
pm 15.054945054945057 12
pm 12.472527472527476 13
pm 10.439560439560443 14
pm 12.582417582417586 15
pm 17.087912087912088 16
pm 15.934065934065936 17
am 0.9459459459459536 1
am 1.9189189189189255 2
am 3.0540540540540597 3
am 4.189189189189195 4
am 5.108108108108112 5
am 5.8648648648648685 6
am 10.027027027027025 7
am 7.9729729729729755 8
am 8.945945945945951 9
am 7.054054054054056 10
am 10.999999999999998 11
am 11.97297297297297 12
am 12.945945945945942 13
am 13.918918918918918 14
am 14.945945945945946 15
am 16.081081081081074 16
am 17.05405405405405 17
