filename variable group_id mean sd n r se error_type plot_type
grace2014_lt_rpt.png R shaking_ni 0.14516129032258118 1.0111540903992606 86 NA 0.10903554970375254 CI95 mean_error
grace2014_lt_rpt.png R shaking_no1 0.6250000000000004 0.6295865091165204 86 NA 0.06789005924950625 CI95 mean_error
grace2014_lt_rpt.png R shaking_no2 0.2379032258064524 0.9348405741427107 86 NA 0.10080645161290308 CI95 mean_error
grace2014_lt_rpt.png R shaking_ss 0.09677419354838768 1.0111540903992602 86 NA 0.10903554970375248 CI95 mean_error
grace2014_lt_rpt.png R gardening_ni 0.45161290322580694 0.8012919206937537 86 NA 0.08640552995391709 CI95 mean_error
grace2014_lt_rpt.png R gardening_no1 0.3346774193548392 0.9348405741427118 86 NA 0.10080645161290319 CI95 mean_error
grace2014_lt_rpt.png R gardening_no2 0.18951612903225867 0.9729973322709857 86 NA 0.10492100065832781 CI95 mean_error
grace2014_lt_rpt.png R gardening_ss 0.12500000000000056 1.0111540903992602 86 NA 0.10903554970375248 CI95 mean_error
grace2014_lt_rpt.png R aggression_ni 0.4556451612903234 0.8394486788220276 86 NA 0.09052007899934171 CI95 mean_error
grace2014_lt_rpt.png R agression_no1 0.7016129032258072 0.5151162347316985 86 NA 0.0555464121132324 CI95 mean_error
grace2014_lt_rpt.png R agression_no2 0.3024193548387103 0.9348405741427113 86 NA 0.10080645161290314 CI95 mean_error
grace2014_lt_rpt.png R agression_ss 0.15725806451612956 0.9920757113351237 86 NA 0.10697827518104024 CI95 mean_error
grace2014_st_rpt.png R shaking_ni 0.33333333333333337 0.8944712751507868 157 NA 0.07138657932308727 CI95 mean_error
grace2014_st_rpt.png R shaking_no1 0.5308641975308642 0.7103154243844501 157 NA 0.05668934240362826 CI95 mean_error
grace2014_st_rpt.png R shaking_no2 0.3580246913580247 0.8681632964698816 157 NA 0.06928697404887883 CI95 mean_error
grace2014_st_rpt.png R shaking_ss 0.15637860082304544 0.9733952111935031 157 NA 0.0776853951457126 CI95 mean_error
grace2014_st_rpt.png R gardening_ni 0.49382716049382724 0.7629313817462594 157 NA 0.060888552952045025 CI95 mean_error
grace2014_st_rpt.png R gardening_no1 0.48559670781893016 0.7892393604271655 157 NA 0.06298815822625352 CI95 mean_error
grace2014_st_rpt.png R gardening_no2 -0.36213991769547305 0.8418553177889758 157 NA 0.06718736877467037 CI95 mean_error
grace2014_st_rpt.png R gardening_ss 0.374485596707819 0.8418553177889762 157 NA 0.0671873687746704 CI95 mean_error
grace2014_st_rpt.png R aggression_ni 0.5596707818930041 0.6576994670226378 157 NA 0.052490131855211265 CI95 mean_error
grace2014_st_rpt.png R aggression_so1 0.7407407407407408 0.44723563757539203 157 NA 0.035693289661543524 CI95 mean_error
grace2014_st_rpt.png R aggression_so2 0.2386831275720166 0.9733952111935024 157 NA 0.07768539514571254 CI95 mean_error
grace2014_st_rpt.png R aggression_ss 0.09053497942386834 0.9733952111935038 157 NA 0.07768539514571265 CI95 mean_error
